query,label,h_index1_mean,stance_score1_mean,current_score1_mean,recent_weighted_h_index1_mean,recent_weighted_citation_count1_mean,citation_count1_mean,h_index2_mean,stance_score2_mean,current_score2_mean,recent_weighted_h_index2_mean,recent_weighted_citation_count2_mean,citation_count2_mean,h_index3_mean,stance_score3_mean,current_score3_mean,recent_weighted_h_index3_mean,recent_weighted_citation_count3_mean,citation_count3_mean,h_index4_mean,stance_score4_mean,current_score4_mean,recent_weighted_h_index4_mean,recent_weighted_citation_count4_mean,citation_count4_mean,h_index5_mean,stance_score5_mean,current_score5_mean,recent_weighted_h_index5_mean,recent_weighted_citation_count5_mean,citation_count5_mean,h_indexall_mean,stance_scoreall_mean,current_scoreall_mean,recent_weighted_h_indexall_mean,recent_weighted_citation_countall_mean,citation_countall_mean,rel,h_index_stance_avg,citations_stance_avg
Acupuncture and acupressure for premenstrual syndrome,4,0,0,0,0,0,0,3.102189781021898,2.0,1.0,3.102189781021898,9.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,5.018248175182482,5.0,15.0,75.27372262773723,30.0,2.0,4.06021897810219,3.5,8.0,39.18795620437956,19.5,5.5,2,3.8539325842696623,2.5454545454545454
Acupuncture for uterine fibroids,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.94890510948905,5.0,15.0,164.23357664233575,15.0,1.0,10.94890510948905,5.0,15.0,164.23357664233575,15.0,1.0,1,5.0,5.0
Antioxidant supplements for liver diseases,3,0,0,0,0,0,0,8.941605839416058,2.0,16.0,143.06569343065692,0.0,0.0,0,0,0,0,0,0,12.38594890510949,4.0,13.25,176.96167883211677,103.0,7.5,34.3978102189781,5.0,10.666666666666666,488.6861313868614,520.0,39.0,20.20985401459854,4.125,12.625,289.6213503649635,246.5,18.375,8,4.296356938190749,4.838709677419355
Antioxidants for female subfertility,2,4.744525547445256,1.0,7.5,25.501824817518248,10.0,3.5,19.373479318734795,2.0,12.333333333333334,240.2372262773723,174.0,16.0,0,0,0,0,0,0,6.021897810218978,4.0,12.0,72.26277372262774,36.0,3.0,9.032846715328468,5.0,14.0,122.26277372262773,104.66666666666667,7.333333333333333,11.19221411192214,3.0,11.777777777777779,134.52960259529604,99.11111111111111,8.88888888888889,9,2.878105590062112,2.8212290502793294
Auricular acupuncture for cocaine dependence,3,23.357664233576642,1.0,11.0,271.8065693430657,30.0,2.6666666666666665,6.113138686131387,2.0,8.0,48.90510948905109,16.0,2.0,7.299270072992701,3.0,13.0,94.8905109489051,20.0,1.5,4.242700729927007,4.0,7.5,21.213503649635037,30.0,3.5,8.485401459854014,5.0,4.0,33.941605839416056,12.0,3.0,11.972830494728306,2.6666666666666665,9.555555555555555,125.60827250608271,24.22222222222222,2.5555555555555554,9,2.361290322580645,3.1710526315789473
Cannabinoids for epilepsy,3,0,0,0,0,0,0,0,0,0,0,0,0,23.03832116788321,3.0,16.0,368.6131386861314,360.0,22.5,7.116788321167883,4.0,16.5,116.83394160583941,25.0,1.5,0,0,0,0,0,0,15.077554744525546,3.5,16.25,242.7235401459854,192.5,12.0,4,3.236006051437217,3.0625
Cannabis for the treatment of ulcerative colitis,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.744525547445256,4.0,14.0,65.41970802919708,202.0,15.0,0,0,0,0,0,0,4.744525547445256,4.0,14.0,65.41970802919708,202.0,15.0,2,4.0,4.0
Dietary flavonoid for preventing colorectal neoplasms,3,19.738442822384428,1.0,10.166666666666666,215.32846715328466,55.5,6.666666666666667,0,0,0,0,0,0,12.636861313868613,3.0,13.5,166.8339416058394,33.0,2.5,7.755474452554743,4.0,13.6,101.09489051094889,187.6,15.8,0,0,0,0,0,0,14.03705783267827,2.4615384615384617,12.0,163.93177989893317,102.84615384615384,9.538461538461538,13,2.209549071618037,3.0987983978638183
Electrical stimulation for the treatment of rheumatoid arthritis,4,0.0,1.0,3.0,0.0,6.0,2.0,2.9197080291970803,2.0,14.0,40.87591240875912,0.0,0.0,0.5474452554744526,3.0,6.0,3.2846715328467155,0.0,0.0,0,0,0,0,0,0,3.0565693430656937,5.0,6.0,28.604014598540147,0.0,0.0,1.916058394160584,3.2,7.0,20.273722627737225,1.2,0.4,5,3.489510489510489,1.0
Electromagnetic therapy for treating pressure ulcers,2,13.093065693430658,1.0,6.0,41.87956204379562,16.0,2.0,19.17883211678832,2.0,9.8,168.83211678832117,13.6,1.4,8.43978102189781,3.0,7.5,54.51642335766424,26.0,13.0,4.105839416058394,4.0,12.0,49.27007299270073,0.0,0.0,0.0,5.0,15.0,0.0,15.0,1.0,13.00597213005972,2.4545454545454546,9.363636363636363,98.74751161247512,15.181818181818182,3.4545454545454546,11,2.079397394136808,2.8045977011494254
