metric_name,Google,majority,DecisionTreeClassifier,RandomForestClassifier
reject_acc,1,3,6,9
reject_as_support,6,5,0,0
reject_as_neutral,0,1,6,3
reject_as_initial,3,5,2,2
neutral_acc,4,7,12,17
neutral_as_reject,0,3,2,2
neutral_as_support,5,5,1,0
neutral_as_initial,3,9,9,5
initial_acc,3,5,6,2
initial_as_support,4,5,0,0
initial_as_reject,1,2,3,1
initial_as_neutral,1,1,4,10
support_acc,1,2,1,1
support_as_initial,1,0,0,0
support_as_reject,0,1,2,1
support_as_neutral,0,0,0,1
actual_rejects,15,15,15,15
actual_neutral,26,26,26,26
actual_initial,15,15,15,15
actual_support,4,4,4,4
val_false_optimism_mae,2.0952380952380953,1.7666666666666666,1.3333333333333333,1.4545454545454546
val_false_pessimism_mae,1.6666666666666667,2.2857142857142856,1.9090909090909092,1.3333333333333333
class_false_optimism_mae,2.380952380952381,2.033333333333333,1.6111111111111112,1.7
class_false_pessimism_mae,1.6666666666666667,2.4285714285714284,2.272727272727273,1.5333333333333334
val_false_optimism_num,21,30,18,11
val_false_pessimism_num,3,7,11,15
class_false_optimism_num,21,30,18,10
class_false_pessimism_num,3,7,11,15
val_false_optimism_rate,0.35,0.5,0.3,0.18333333333333332
val_false_pessimism_rate,0.05,0.11666666666666667,0.18333333333333332,0.25
class_false_optimism_rate,0.35,0.5,0.3,0.16666666666666666
class_false_pessimism_rate,0.05,0.11666666666666667,0.18333333333333332,0.25
num_queries,60,60,60,60
num_rel,33,54,54,54
acc,0.1,0.2,0.31666666666666665,0.45
support_acc_percent,0.25,0.5,0.25,0.25
initial_acc_percent,0.2,0.3333333333333333,0.4,0.13333333333333333
neutral_acc_percent,0.15384615384615385,0.2692307692307692,0.46153846153846156,0.6538461538461539
reject_acc_percent,0.06666666666666667,0.2,0.4,0.6
initial_acc_percent,0.2,0.3333333333333333,0.4,0.13333333333333333
