metric_name,Google,majority,DecisionTreeClassifier,RandomForestClassifier
reject_acc,1,3,6,9
reject_as_support,9,10,2,2
reject_as_neutral,0,1,6,3
neutral_acc,4,7,12,17
neutral_as_reject,0,3,2,2
neutral_as_support,8,14,10,5
support_acc,9,12,7,3
support_as_reject,1,3,5,2
support_as_neutral,1,1,4,11
actual_rejects,15,15,15,15
actual_neutral,26,26,26,26
actual_support,19,19,19,19
val_false_optimism_mae,2.0952380952380953,1.7666666666666666,1.3333333333333333,1.4545454545454546
val_false_pessimism_mae,1.6666666666666667,2.2857142857142856,1.9090909090909092,1.3333333333333333
class_false_optimism_mae,3.0588235294117645,2.8,2.2222222222222223,2.4
class_false_pessimism_mae,3.0,2.857142857142857,2.909090909090909,2.2666666666666666
val_false_optimism_num,21,30,18,11
val_false_pessimism_num,3,7,11,15
class_false_optimism_num,17,25,18,10
class_false_pessimism_num,2,7,11,15
val_false_optimism_rate,0.35,0.5,0.3,0.18333333333333332
val_false_pessimism_rate,0.05,0.11666666666666667,0.18333333333333332,0.25
class_false_optimism_rate,0.2833333333333333,0.4166666666666667,0.3,0.16666666666666666
class_false_pessimism_rate,0.03333333333333333,0.11666666666666667,0.18333333333333332,0.25
num_queries,60,60,60,60
num_rel,33,54,54,54
acc,0.23333333333333334,0.36666666666666664,0.4166666666666667,0.48333333333333334
support_acc_percent,0.47368421052631576,0.631578947368421,0.3684210526315789,0.15789473684210525
neutral_acc_percent,0.15384615384615385,0.2692307692307692,0.46153846153846156,0.6538461538461539
reject_acc_percent,0.06666666666666667,0.2,0.4,0.6
