query,label,majority_value,majority_class,1,2,3,4,5,accuracy,error
Acupuncture and acupressure for premenstrual syndrome,4,2,1,0,1,0,0,1,0,2.0
Acupuncture for uterine fibroids,3,5,5,0,0,0,0,1,0,2.0
Antioxidant supplements for liver diseases,3,4,3,0,1,0,4,3,1,1.0
Antioxidants for female subfertility,2,2,1,2,3,0,1,3,1,0.0
Auricular acupuncture for cocaine dependence,3,1,1,3,1,2,2,1,0,2.0
Cannabinoids for epilepsy,3,3,3,0,0,2,2,0,1,0.0
Cannabis for the treatment of ulcerative colitis,3,4,3,0,0,0,2,0,1,1.0
Dietary flavonoid for preventing colorectal neoplasms,3,1,1,6,0,2,5,0,0,2.0
Electrical stimulation for the treatment of rheumatoid arthritis,4,5,5,1,1,1,0,2,0,1.0
Electromagnetic therapy for treating pressure ulcers,2,2,1,2,5,2,1,1,1,0.0
Guided imagery for treating hypertension in pregnancy,3,3,3,0,0,1,0,0,1,0.0
Homeopathy for chronic asthma,3,3,3,0,0,2,0,0,1,0.0
Music therapy for depression,4,4,3,0,0,0,8,8,1,0.0
Nutritional support for liver disease,1,5,5,1,0,1,4,5,0,4.0
Oral zinc for the prevention of hyperbilirubinaemia in neonates,1,1,1,2,0,0,0,0,1,0.0
Probiotics for preventing gestational diabetes,3,4,3,1,0,0,5,1,1,1.0
Selenium supplementation for asthma,4,5,5,1,0,2,1,5,0,1.0
Vitamin B6 for cognition,2,4,3,0,1,3,6,1,0,2.0
Vitamin E for intermittent claudication,3,4,3,1,0,1,2,0,1,1.0
Xuebijing for paraquat poisoning,2,5,5,0,0,0,0,1,0,3.0
Yoga for stroke rehabilitation,4,4,3,0,0,1,8,1,1,0.0
Acupuncture for the prevention of episodic migraine,4,5,5,0,0,0,3,4,0,1.0
Cinnamon for diabetes mellitus,3,4,3,1,2,3,8,4,1,1.0
Cranberries for preventing urinary tract infections,2,5,5,3,1,3,2,5,0,3.0
Ginkgo biloba for cognitive impairment and dementia,2,4,3,2,1,3,5,4,0,2.0
Glucosamine therapy for treating osteoarthritis,1,4,3,0,0,1,7,3,0,3.0
Honey for acute cough in children,4,4,3,0,0,2,7,5,1,0.0
Omega 3 fatty acids for the treatment of dementia,2,3,3,0,3,5,5,2,0,1.0
Probiotics  acute infectious diarrhoea,5,5,5,3,0,3,6,7,1,0.0
Vitamin C for preventing and treating the common cold,2,4,3,1,3,0,6,2,0,2.0
Chinese herbal medicine for atopic eczema,3,4,3,1,1,2,5,4,1,1.0
Balneotherapy (or spa therapy) for rheumatoid arthritis,3,3,3,0,0,4,3,3,1,0.0
Rutosides for prevention of post-thrombotic syndrome,3,1,1,3,0,3,3,0,0,2.0
Hypnosis for induction of labour,3,3,3,0,0,2,2,0,1,0.0
Herbal preparations for uterine fibroids,3,5,5,0,0,1,2,5,0,2.0
Melatonin for the treatment of dementia,2,4,3,2,1,2,5,2,0,2.0
Therapeutic touch for anxiety disorders,3,5,5,0,0,0,1,3,0,2.0
Low-fat diets for acquired hypercholesterolaemia,3,5,5,0,0,0,0,1,0,2.0
Music interventions for preoperative anxiety,5,5,5,1,0,0,6,9,1,0.0
Valerian for anxiety disorders,3,4,3,1,1,1,6,1,1,1.0
Acupuncture for glaucoma,3,5,5,0,0,2,2,3,0,2.0
Phlebotonics for haemorrhoids,4,3,3,0,0,1,0,0,1,1.0
Acupuncture for mumps in children,3,3,3,0,0,2,0,0,1,0.0
Vitamin B for treating peripheral neuropathy,3,4,3,0,0,0,5,0,1,1.0
Thermotherapy for treating rheumatoid arthritis,4,4,3,0,1,1,3,2,1,0.0
Horticultural therapy for schizophrenia,3,4,3,0,0,0,2,0,1,1.0
Vitamin C for preventing and treating pneumonia,4,5,5,0,0,0,4,5,0,1.0
Phlebotonics for venous insufficiency,4,1,1,2,0,2,2,2,0,3.0
Creatine for treating muscle disorders,5,1,1,2,2,0,1,1,0,4.0
Thymic peptides for treatment of cancer patients,4,4,3,0,0,0,2,1,1,0.0
Acupuncture for stroke rehabilitation,4,5,5,1,1,2,5,9,0,1.0
Hypnosis for schizophrenia,3,3,3,0,0,1,0,0,1,0.0
Acupuncture for epilepsy,2,5,5,2,2,3,2,6,0,3.0
Fermented milk for hypertension,1,5,5,1,1,2,3,10,0,4.0
Interventions for ingrowing toenails,5,5,5,1,0,1,4,9,1,0.0
